"תאריך","שער","פתיחה","גבוה","נמוך","שינוי %"
"13.03.2020","0.9022","0.8942","0.9046","0.8911","0.89%"
"12.03.2020","0.8942","0.8881","0.9044","0.8824","0.78%"
"11.03.2020","0.8873","0.8865","0.8884","0.8798","0.09%"
"10.03.2020","0.8865","0.8737","0.8869","0.8727","1.50%"
"09.03.2020","0.8734","0.8857","0.8862","0.8700","-1.43%"
"06.03.2020","0.8861","0.8895","0.8919","0.8804","-0.40%"
"05.03.2020","0.8897","0.8980","0.8994","0.8892","-0.92%"
"04.03.2020","0.8980","0.8951","0.9013","0.8939","0.32%"
"03.03.2020","0.8951","0.8982","0.9012","0.8919","-0.35%"
"02.03.2020","0.8982","0.9089","0.9089","0.8940","-0.96%"
"28.02.2020","0.9069","0.9089","0.9132","0.9047","-0.24%"
"27.02.2020","0.9091","0.9188","0.9193","0.9086","-1.09%"
"26.02.2020","0.9191","0.9191","0.9213","0.9166","0.00%"
"25.02.2020","0.9191","0.9213","0.9234","0.9183","-0.24%"
"24.02.2020","0.9213","0.9225","0.9255","0.9198","-0.09%"
"21.02.2020","0.9221","0.9272","0.9274","0.9205","-0.56%"
"20.02.2020","0.9273","0.9254","0.9280","0.9242","0.21%"
"19.02.2020","0.9254","0.9267","0.9276","0.9249","-0.13%"
"18.02.2020","0.9266","0.9226","0.9272","0.9226","0.40%"
"17.02.2020","0.9229","0.9231","0.9241","0.9215","-0.03%"
"14.02.2020","0.9232","0.9225","0.9237","0.9208","0.09%"
"13.02.2020","0.9224","0.9196","0.9230","0.9183","0.29%"
"12.02.2020","0.9197","0.9161","0.9205","0.9153","0.39%"
"11.02.2020","0.9161","0.9165","0.9183","0.9154","-0.04%"
"10.02.2020","0.9165","0.9131","0.9168","0.9125","0.32%"
"07.02.2020","0.9136","0.9104","0.9140","0.9103","0.32%"
"06.02.2020","0.9107","0.9091","0.9120","0.9078","0.16%"
"05.02.2020","0.9092","0.9054","0.9097","0.9052","0.41%"
"04.02.2020","0.9055","0.9042","0.9064","0.9038","0.14%"
"03.02.2020","0.9042","0.9016","0.9062","0.9012","0.31%"
"31.01.2020","0.9014","0.9065","0.9077","0.9012","-0.55%"
"30.01.2020","0.9064","0.9083","0.9086","0.9058","-0.20%"
"29.01.2020","0.9082","0.9073","0.9099","0.9067","0.10%"
"28.01.2020","0.9073","0.9075","0.9093","0.9071","-0.02%"
"27.01.2020","0.9075","0.9073","0.9084","0.9058","0.04%"
"24.01.2020","0.9071","0.9046","0.9075","0.9040","0.28%"
"23.01.2020","0.9046","0.9015","0.9062","0.9002","0.36%"
"22.01.2020","0.9014","0.9022","0.9034","0.9011","-0.09%"
"21.01.2020","0.9022","0.9014","0.9026","0.8995","0.10%"
"20.01.2020","0.9013","0.9015","0.9029","0.9006","-0.06%"
"17.01.2020","0.9018","0.8980","0.9022","0.8974","0.43%"
"16.01.2020","0.8979","0.8968","0.8988","0.8951","0.12%"
"15.01.2020","0.8968","0.8985","0.8995","0.8958","-0.19%"
"14.01.2020","0.8985","0.8981","0.9006","0.8972","0.04%"
"13.01.2020","0.8981","0.8989","0.9000","0.8971","-0.12%"
"10.01.2020","0.8992","0.9004","0.9022","0.8985","-0.13%"
"09.01.2020","0.9004","0.9004","0.9015","0.8991","0.00%"
"08.01.2020","0.9004","0.8966","0.9009","0.8954","0.44%"
"07.01.2020","0.8965","0.8932","0.8982","0.8931","0.39%"
"06.01.2020","0.8930","0.8954","0.8964","0.8923","-0.32%"
"03.01.2020","0.8959","0.8950","0.8989","0.8944","0.10%"
"02.01.2020","0.8950","0.8918","0.8958","0.8907","0.35%"
"01.01.2020","0.8919","0.8920","0.8926","0.8911","0.00%"
"31.12.2019","0.8919","0.8931","0.8931","0.8898","-0.12%"
"30.12.2019","0.8930","0.8949","0.8953","0.8911","-0.20%"
"27.12.2019","0.8948","0.9012","0.9012","0.8939","-0.70%"
"26.12.2019","0.9011","0.9018","0.9024","0.9002","-0.06%"
"25.12.2019","0.9016","0.9018","0.9031","0.9002","-0.03%"
"24.12.2019","0.9019","0.9018","0.9034","0.9013","0.00%"
"23.12.2019","0.9019","0.9024","0.9034","0.9012","-0.08%"
"20.12.2019","0.9026","0.8991","0.9037","0.8987","0.38%"
"19.12.2019","0.8992","0.8999","0.9004","0.8973","-0.08%"
"18.12.2019","0.8999","0.8969","0.9002","0.8964","0.33%"
"17.12.2019","0.8969","0.8973","0.8985","0.8948","-0.04%"
"16.12.2019","0.8973","0.8992","0.8992","0.8962","-0.21%"
"13.12.2019","0.8992","0.8986","0.9001","0.8929","0.09%"
"12.12.2019","0.8984","0.8984","0.9008","0.8965","0.00%"
