"תאריך","שער","פתיחה","גבוה","נמוך","שינוי %"
"13.03.2020","3.6794","3.6550","3.6966","3.6445","0.67%"
"12.03.2020","3.6550","3.5627","3.6936","3.5615","2.56%"
"11.03.2020","3.5637","3.5315","3.5793","3.5250","0.93%"
"10.03.2020","3.5310","3.5215","3.5430","3.5062","0.25%"
"09.03.2020","3.5223","3.4945","3.5433","3.4917","1.06%"
"06.03.2020","3.4853","3.4831","3.4954","3.4788","0.04%"
"05.03.2020","3.4838","3.4502","3.4880","3.4495","0.96%"
"04.03.2020","3.4508","3.4508","3.4621","3.4375","-0.04%"
"03.03.2020","3.4522","3.4780","3.4859","3.4260","-0.74%"
"02.03.2020","3.4780","3.4691","3.4960","3.4616","0.32%"
"28.02.2020","3.4670","3.4585","3.4935","3.4546","0.25%"
"27.02.2020","3.4585","3.4342","3.4612","3.4274","0.65%"
"26.02.2020","3.4360","3.4368","3.4456","3.4295","-0.02%"
"25.02.2020","3.4366","3.4280","3.4400","3.4178","0.25%"
"24.02.2020","3.4279","3.4162","3.4485","3.4162","0.33%"
"21.02.2020","3.4165","3.4259","3.4308","3.4148","-0.27%"
"20.02.2020","3.4259","3.4250","3.4405","3.4211","0.00%"
"19.02.2020","3.4258","3.4207","3.4304","3.4149","0.15%"
"18.02.2020","3.4207","3.4204","3.4282","3.4146","-0.01%"
"17.02.2020","3.4210","3.4290","3.4355","3.4191","-0.21%"
"14.02.2020","3.4282","3.4251","3.4369","3.4192","0.10%"
"13.02.2020","3.4247","3.4345","3.4398","3.4219","-0.21%"
"12.02.2020","3.4320","3.4171","3.4341","3.4092","0.44%"
"11.02.2020","3.4169","3.4218","3.4225","3.3987","-0.10%"
"10.02.2020","3.4203","3.4280","3.4347","3.4162","-0.24%"
"07.02.2020","3.4284","3.4296","3.4296","3.4169","0.03%"
"06.02.2020","3.4275","3.4406","3.4442","3.4251","-0.42%"
"05.02.2020","3.4421","3.4482","3.4551","3.4387","-0.20%"
"04.02.2020","3.4489","3.4450","3.4556","3.4391","0.17%"
"03.02.2020","3.4431","3.4494","3.4540","3.4410","-0.23%"
"31.01.2020","3.4511","3.4514","3.4537","3.4443","0.06%"
"30.01.2020","3.4490","3.4518","3.4558","3.4449","-0.07%"
"29.01.2020","3.4515","3.4525","3.4596","3.4490","-0.06%"
"28.01.2020","3.4535","3.4569","3.4609","3.4516","-0.16%"
"27.01.2020","3.4592","3.4573","3.4660","3.4532","0.10%"
"24.01.2020","3.4557","3.4561","3.4595","3.4500","-0.03%"
"23.01.2020","3.4566","3.4611","3.4668","3.4524","-0.12%"
"22.01.2020","3.4608","3.4556","3.4645","3.4468","0.14%"
"21.01.2020","3.4561","3.4548","3.4596","3.4523","-0.03%"
"20.01.2020","3.4572","3.4559","3.4651","3.4535","0.01%"
